A5A616	Unknown																								
O32583	nucleotide binding 	[GO:0000166]	 sulfur carrier activity 	[GO:0097163]																					
P00350	guanosine tetraphosphate binding 	[GO:0097216]	 identical protein binding 	[GO:0042802]	 NADP binding 	[GO:0050661]	 phosphogluconate dehydrogenase (decarboxylating) activity 	[GO:0004616]	 protein homodimerization activity 	[GO:0042803]															
P00363	electron transfer activity 	[GO:0009055]	 FAD binding 	[GO:0071949]	 flavin adenine dinucleotide binding 	[GO:0050660]	 fumarate reductase (menaquinone) 	[GO:0102040]	 succinate dehydrogenase activity 	[GO:0000104]															
P00370	glutamate dehydrogenase (NADP+) activity 	[GO:0004354]	 guanosine tetraphosphate binding 	[GO:0097216]	 identical protein binding 	[GO:0042802]																			
P00393	flavin adenine dinucleotide binding 	[GO:0050660]	 NADH dehydrogenase (ubiquinone) activity 	[GO:0008137]																					
P00448	antioxidant activity 	[GO:0016209]	 DNA binding 	[GO:0003677]	 manganese ion binding 	[GO:0030145]	 metal ion binding 	[GO:0046872]	 protein homodimerization activity 	[GO:0042803]	 superoxide dismutase activity 	[GO:0004784]													
P00452	ATP binding 	[GO:0005524]	 identical protein binding 	[GO:0042802]	 protein folding chaperone 	[GO:0044183]	" ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor "	[GO:0004748]																	
P00490	glycogen phosphorylase activity 	[GO:0008184]	 linear malto-oligosaccharide phosphorylase activity 	[GO:0102250]	 maltodextrin phosphorylase activity 	[GO:0031220]	 protein homodimerization activity 	[GO:0042803]	 pyridoxal phosphate binding 	[GO:0030170]	 SHG alpha-glucan phosphorylase activity 	[GO:0102499]													
P00509	identical protein binding 	[GO:0042802]	 L-aspartate:2-oxoglutarate aminotransferase activity 	[GO:0004069]	 L-tyrosine:2-oxoglutarate aminotransferase activity 	[GO:0004838]	 protein homodimerization activity 	[GO:0042803]	 pyridoxal phosphate binding 	[GO:0030170]															
P00550	kinase activity 	[GO:0016301]	 protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity 	[GO:0022872]	 protein-phosphocysteine-mannitol phosphotransferase system transporter activity 	[GO:0090565]	 protein-phosphocysteine-sugar phosphotransferase activity 	[GO:0090563]																	
P00561	aspartate kinase activity 	[GO:0004072]	 ATP binding 	[GO:0005524]	 homoserine dehydrogenase activity 	[GO:0004412]	 identical protein binding 	[GO:0042802]	 NADP binding 	[GO:0050661]															
P00562	aspartate kinase activity 	[GO:0004072]	 ATP binding 	[GO:0005524]	 homoserine dehydrogenase activity 	[GO:0004412]	 NADP binding 	[GO:0050661]																	
P00579	DNA binding 	[GO:0003677]	 sigma factor activity 	[GO:0016987]																					
P00582	3'-5' exonuclease activity 	[GO:0008408]	 5'-3' exonuclease activity 	[GO:0008409]	 DNA binding 	[GO:0003677]	 DNA-directed DNA polymerase activity 	[GO:0003887]																	
P00634	alkaline phosphatase activity 	[GO:0004035]	 hydrogenase (acceptor) activity 	[GO:0033748]	 magnesium ion binding 	[GO:0000287]	" oxidoreductase activity, acting on phosphorus or arsenic in donors "	[GO:0030613]	 phosphoprotein phosphatase activity 	[GO:0004721]	 zinc ion binding 	[GO:0008270]													
P00722	alkali metal ion binding 	[GO:0031420]	 beta-galactosidase activity 	[GO:0004565]	 carbohydrate binding 	[GO:0030246]	 identical protein binding 	[GO:0042802]	 magnesium ion binding 	[GO:0000287]															
P00803	endopeptidase activity 	[GO:0004175]	 peptidase activity 	[GO:0008233]	 serine-type endopeptidase activity 	[GO:0004252]																			
P00804	aspartic-type endopeptidase activity 	[GO:0004190]	 endopeptidase activity 	[GO:0004175]																					
P00805	asparaginase activity 	[GO:0004067]	 identical protein binding 	[GO:0042802]																					
P00811	beta-lactamase activity 	[GO:0008800]																							
P00861	diaminopimelate decarboxylase activity 	[GO:0008836]	 protein homodimerization activity 	[GO:0042803]	 pyridoxal phosphate binding 	[GO:0030170]																			
P00864	identical protein binding 	[GO:0042802]	 magnesium ion binding 	[GO:0000287]	 phosphoenolpyruvate carboxylase activity 	[GO:0008964]																			
P00893	acetolactate synthase activity 	[GO:0003984]	 flavin adenine dinucleotide binding 	[GO:0050660]	 magnesium ion binding 	[GO:0000287]	 thiamine pyrophosphate binding 	[GO:0030976]																	
P00894	acetolactate synthase activity 	[GO:0003984]	 acetolactate synthase regulator activity 	[GO:1990610]																					
P00903	4-amino-4-deoxychorismate synthase activity 	[GO:0046820]	 protein heterodimerization activity 	[GO:0046982]																					
P00904	anthranilate phosphoribosyltransferase activity 	[GO:0004048]	 anthranilate synthase activity 	[GO:0004049]	 magnesium ion binding 	[GO:0000287]																			
P00914	damaged DNA binding 	[GO:0003684]	 deoxyribodipyrimidine photo-lyase activity 	[GO:0003904]	 DNA binding 	[GO:0003677]	 FAD binding 	[GO:0071949]																	
P00926	D-serine ammonia-lyase activity 	[GO:0008721]	 hydro-lyase activity 	[GO:0016836]	 pyridoxal phosphate binding 	[GO:0030170]																			
P00935	cystathionine gamma-lyase activity 	[GO:0004123]	 cystathionine gamma-synthase activity 	[GO:0003962]	 cystathionine gamma-synthase activity (acts on O-phosphohomoserine) 	[GO:0102028]	 pyridoxal phosphate binding 	[GO:0030170]																	
P00936	adenylate cyclase activity 	[GO:0004016]	 ATP binding 	[GO:0005524]																					
P00946	mannose-6-phosphate isomerase activity 	[GO:0004476]	 zinc ion binding 	[GO:0008270]																					
P00956	aminoacyl-tRNA editing activity 	[GO:0002161]	 ATP binding 	[GO:0005524]	 isoleucine-tRNA ligase activity 	[GO:0004822]	 tRNA binding 	[GO:0000049]	 zinc ion binding 	[GO:0008270]															
P00957	alanine-tRNA ligase activity 	[GO:0004813]	 aminoacyl-tRNA editing activity 	[GO:0002161]	 ATP binding 	[GO:0005524]	 DNA-binding transcription repressor activity 	[GO:0001217]	 identical protein binding 	[GO:0042802]	 protein homodimerization activity 	[GO:0042803]	 Ser-tRNA(Ala) hydrolase activity 	[GO:0002196]	 tRNA binding 	[GO:0000049]	 zinc ion binding 	[GO:0008270]							
P00959	ATP binding 	[GO:0005524]	 methionine-tRNA ligase activity 	[GO:0004825]	 protein homodimerization activity 	[GO:0042803]	 tRNA binding 	[GO:0000049]	 zinc ion binding 	[GO:0008270]															
P00962	ATP binding 	[GO:0005524]	 glutamine-tRNA ligase activity 	[GO:0004819]																					
P00963	aspartate-ammonia ligase activity 	[GO:0004071]	 ATP binding 	[GO:0005524]	 identical protein binding 	[GO:0042802]	 protein homodimerization activity 	[GO:0042803]																	
P00968	amino acid binding 	[GO:0016597]	 ATP binding 	[GO:0005524]	 carbamoyl-phosphate synthase (ammonia) activity 	[GO:0004087]	 carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity 	[GO:0004088]	 metal ion binding 	[GO:0046872]	 nucleotide binding 	[GO:0000166]													
P02358	mRNA 5'-UTR binding 	[GO:0048027]	 small ribosomal subunit rRNA binding 	[GO:0070181]	 structural constituent of ribosome 	[GO:0003735]																			
P02359	mRNA binding 	[GO:0003729]	 rRNA binding 	[GO:0019843]	 structural constituent of ribosome 	[GO:0003735]	 tRNA binding 	[GO:0000049]																	
P02916	ABC-type maltose transporter activity 	[GO:0015423]																							
P02918	penicillin binding 	[GO:0008658]	 peptidoglycan glycosyltransferase activity 	[GO:0008955]	 serine-type D-Ala-D-Ala carboxypeptidase activity 	[GO:0009002]																			
P02919	penicillin binding 	[GO:0008658]	 peptidoglycan glycosyltransferase activity 	[GO:0008955]	 serine-type D-Ala-D-Ala carboxypeptidase activity 	[GO:0009002]																			
P02920	carbohydrate:proton symporter activity 	[GO:0005351]	 lactose binding 	[GO:0030395]	 lactose:proton symporter activity 	[GO:0015528]																			
P02921	melibiose:monoatomic cation symporter activity 	[GO:0015487]	 melibiose:sodium symporter activity 	[GO:0043887]	 methylgalactoside transmembrane transporter activity 	[GO:0015592]																			
P02925	monosaccharide binding 	[GO:0048029]																							
P02929	energy transducer activity 	[GO:0031992]	 protein domain specific binding 	[GO:0019904]																					
